id_movie,release_date,month,day_num,day_name
55475.0,1995-08-16,agosto,16.0,miercoles
124636.0,1995-08-01,agosto,1.0,martes
9101.0,1996-03-01,marzo,1.0,viernes
123360.0,1995-09-08,septiembre,8.0,viernes
5757.0,1995-09-15,septiembre,15.0,viernes
39428.0,1995-08-23,agosto,23.0,miercoles
124639.0,1995-08-01,agosto,1.0,martes
9302.0,1996-03-01,marzo,1.0,viernes
11000.0,1996-03-08,marzo,8.0,viernes
249882.0,1995-10-12,octubre,12.0,jueves
16388.0,1995-08-09,agosto,9.0,miercoles
9737.0,1995-04-07,abril,7.0,viernes
30765.0,1995-08-25,agosto,25.0,viernes
10474.0,1995-04-21,abril,21.0,viernes
22279.0,1995-07-21,julio,21.0,viernes
30157.0,1994-08-05,agosto,5.0,viernes
568.0,1995-06-30,junio,30.0,viernes
11780.0,1995-04-13,abril,13.0,jueves
34996.0,1995-01-10,enero,10.0,martes
414.0,1995-06-16,junio,16.0,viernes
649.0,1967-05-24,mayo,24.0,miercoles
1873.0,1995-05-24,mayo,24.0,miercoles
5894.0,1995-09-15,septiembre,15.0,viernes
1775.0,1995-06-08,junio,8.0,jueves
8839.0,1995-05-26,mayo,26.0,viernes
20649.0,1995-09-15,septiembre,15.0,viernes
10329.0,1995-06-09,junio,9.0,viernes
8963.0,1995-05-12,mayo,12.0,viernes
26564.0,1994-09-10,septiembre,10.0,sabado
8068.0,1995-08-25,agosto,25.0,viernes
8512.0,1995-09-15,septiembre,15.0,viernes
1572.0,1995-05-19,mayo,19.0,viernes
13552.0,1995-10-27,octubre,27.0,viernes
259209.0,1995-10-12,octubre,12.0,jueves
6520.0,1995-07-07,julio,7.0,viernes
9073.0,1995-07-19,julio,19.0,miercoles
10428.0,1995-09-14,septiembre,14.0,jueves
17447.0,1995-08-18,agosto,18.0,viernes
9886.0,1995-05-26,mayo,26.0,viernes
9482.0,1995-06-30,junio,30.0,viernes
19326.0,1995-04-12,abril,12.0,miercoles
9344.0,1995-07-28,julio,28.0,viernes
9071.0,1995-01-20,enero,20.0,viernes
8973.0,1995-08-25,agosto,25.0,viernes
15730.0,1993-05-20,mayo,20.0,jueves
47608.0,1995-05-26,mayo,26.0,viernes
2293.0,1995-10-20,octubre,20.0,viernes
9070.0,1995-06-30,junio,30.0,viernes
68274.0,1995-09-29,septiembre,29.0,viernes
48787.0,1995-09-28,septiembre,28.0,jueves
34574.0,1994-09-13,septiembre,13.0,martes
1642.0,1995-07-28,julio,28.0,viernes
11472.0,1995-07-12,julio,12.0,miercoles
36196.0,1995-06-09,junio,9.0,viernes
11980.0,1995-09-01,septiembre,1.0,viernes
58372.0,1995-11-17,noviembre,17.0,viernes
32646.0,1995-06-23,junio,23.0,viernes
10533.0,1995-10-13,octubre,13.0,viernes
56088.0,1995-08-25,agosto,25.0,viernes
10802.0,1995-09-22,septiembre,22.0,viernes
10149.0,1995-06-09,junio,9.0,viernes
18402.0,1995-08-04,agosto,4.0,viernes
9348.0,1995-07-07,julio,7.0,viernes
139408.0,1995-09-15,septiembre,15.0,viernes
281.0,1995-10-13,octubre,13.0,viernes
5967.0,1964-02-19,febrero,19.0,miercoles
79593.0,1995-09-08,septiembre,8.0,viernes
47939.0,1995-10-27,octubre,27.0,viernes
36834.0,1995-11-02,noviembre,2.0,jueves
9090.0,1995-09-07,septiembre,7.0,jueves
3512.0,1995-07-13,julio,13.0,jueves
52856.0,1995-09-15,septiembre,15.0,viernes
77350.0,1995-08-11,agosto,11.0,viernes
9560.0,1995-08-11,agosto,11.0,viernes
9804.0,1995-07-28,julio,28.0,viernes
31611.0,1995-12-01,diciembre,1.0,viernes
65796.0,1995-12-01,diciembre,1.0,viernes
49805.0,1994-10-12,octubre,12.0,miercoles
26258.0,1995-08-04,agosto,4.0,viernes
50797.0,1994-05-01,mayo,1.0,domingo
19155.0,1994-06-09,junio,9.0,jueves
76.0,1995-01-27,enero,27.0,viernes
11017.0,1995-02-10,febrero,10.0,viernes
37141.0,1995-10-17,octubre,17.0,martes
9382.0,1995-02-03,febrero,3.0,viernes
6715.0,1995-04-21,abril,21.0,viernes
18256.0,1995-08-04,agosto,4.0,viernes
